2025-04-30 14:25:19.992 | INFO  | thread=restartedMain | method=logTo | traceId= | userId= | serviceName= | appName= | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-30 14:25:20.923 | INFO  | thread=restartedMain | method=registerRepositoriesIn | traceId= | userId= | serviceName= | appName= | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-30 14:25:21.012 | INFO  | thread=restartedMain | method=registerRepositoriesIn | traceId= | userId= | serviceName= | appName= | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 76 ms. Found 2 JPA repository interfaces.
2025-04-30 14:25:21.638 | INFO  | thread=restartedMain | method=initialize | traceId= | userId= | serviceName= | appName= | o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-04-30 14:25:21.653 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-30 14:25:21.656 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-30 14:25:21.656 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-04-30 14:25:21.704 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-30 14:25:21.705 | INFO  | thread=restartedMain | method=prepareWebApplicationContext | traceId= | userId= | serviceName= | appName= | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1713 ms
2025-04-30 14:25:21.743 | INFO  | thread=restartedMain | method=getConnection | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-04-30 14:25:21.945 | INFO  | thread=restartedMain | method=checkFailFast | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:flypayportal user=SA
2025-04-30 14:25:21.947 | INFO  | thread=restartedMain | method=getConnection | traceId= | userId= | serviceName= | appName= | com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-04-30 14:25:21.965 | INFO  | thread=restartedMain | method=logDataSources | traceId= | userId= | serviceName= | appName= | o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:flypayportal'
2025-04-30 14:25:22.083 | INFO  | thread=restartedMain | method=logPersistenceUnitInformation | traceId= | userId= | serviceName= | appName= | o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-30 14:25:22.135 | INFO  | thread=restartedMain | method=logVersion | traceId= | userId= | serviceName= | appName= | org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-04-30 14:25:22.174 | INFO  | thread=restartedMain | method=initiateService | traceId= | userId= | serviceName= | appName= | o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-04-30 14:25:22.431 | INFO  | thread=restartedMain | method=addTransformer | traceId= | userId= | serviceName= | appName= | o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-30 14:25:23.201 | INFO  | thread=restartedMain | method=initiateService | traceId= | userId= | serviceName= | appName= | o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-04-30 14:25:23.286 | INFO  | thread=restartedMain | method=buildNativeEntityManagerFactory | traceId= | userId= | serviceName= | appName= | o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-30 14:25:23.689 | INFO  | thread=restartedMain | method=<clinit> | traceId= | userId= | serviceName= | appName= | o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-04-30 14:25:24.224 | INFO  | thread=restartedMain | method=configure | traceId= | userId= | serviceName= | appName= | o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsImp
2025-04-30 14:25:25.002 | INFO  | thread=restartedMain | method=startServer | traceId= | userId= | serviceName= | appName= | o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-04-30 14:25:25.027 | INFO  | thread=restartedMain | method=log | traceId= | userId= | serviceName= | appName= | o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-30 14:25:25.047 | INFO  | thread=restartedMain | method=start | traceId= | userId= | serviceName= | appName= | o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-04-30 14:25:25.061 | INFO  | thread=restartedMain | method=logStarted | traceId= | userId= | serviceName= | appName= | c.f.f.FlypayportalApplication - Started FlypayportalApplication in 5.706 seconds (process running for 6.116)
2025-04-30 14:26:46.960 | INFO  | thread=http-nio-8080-exec-1 | method=log | traceId= | userId= | serviceName= | appName= | o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-30 14:26:46.960 | INFO  | thread=http-nio-8080-exec-1 | method=initServletBean | traceId= | userId= | serviceName= | appName= | o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-30 14:26:46.962 | INFO  | thread=http-nio-8080-exec-1 | method=initServletBean | traceId= | userId= | serviceName= | appName= | o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-04-30 14:26:46.965 | INFO  | thread=http-nio-8080-exec-1 | method=doFilterInternal | traceId=c7071329-f3ae-4a77-9b95-751b9d8ccfff | userId= | serviceName=FlyPayService | appName=FlyPayPortal | c.f.flypayportal.filter.MDCFilter - MDC initialized with serviceName = FlyPayService  and appName = FlyPayPortal
